24,0,0,11,11,0,0,0,11,11,11,11,11,24,24
24,24,30,11,24,11,11,5,0,11,24,30,24,24,24
24,5,24,22,22,30,11,5,0,11,30,30,24,200,200
0,24,200,0,22,5,200,5,0,11,30,30,200,200,200
24,5,22,22,22,0,0,0,0,11,11,30,200,200,200
0,24,0,22,22,11,11,11,11,11,11,30,30,30,30
24,0,24,0,0,0,11,200,200,200,200,30,30,30,30
24,24,24,11,0,5,5,200,200,30,30,30,30,22,22
24,24,24,0,11,5,5,0,200,30,30,30,22,22,22
0,24,0,11,11,11,0,0,0,30,30,22,22,22,22
0,0,0,11,11,11,11,11,30,30,30,22,22,22,22
24,24,11,11,11,11,11,11,30,30,22,22,22,22,22
24,24,11,5,5,11,11,30,30,30,22,22,22,22,22
24,24,24,5,5,24,11,30,30,30,22,22,22,22,22
24,24,24,5,5,24,11,30,30,30,22,22,22,22,22
